original_file,canonical_file,decision,original_sha256
01_run_DEP_differential_analysis.R(5).R,scripts/DEP/01_DEP_primary_analysis.R,KEEP + REFACTOR,61be662ccc1615848f79b7876339c29b08ab6dcacdcb009925eee5393c9f915b
02_DEP_sensitivity_models_fixed_primary_SOMAmer_map(4).R,scripts/DEP/02_DEP_rebuild_sensitivity_fixed_map.R,KEEP + REFACTOR,4146fc3af8911c9c1b3047aa770f4d124cf873e32646646a0d1e2e0397b91904
02_DEP_sensitivity_models_fixed_primary_SOMAmer_map(5).R,—,DELETE exact duplicate,4146fc3af8911c9c1b3047aa770f4d124cf873e32646646a0d1e2e0397b91904
02B_DEP_APOE_ATN_equal_sample_baselines_FIXED_PRIMARY_MAP(3).R,scripts/DEP/03_DEP_APOE_ATN_equal_sample_models.R,KEEP + REFACTOR,c16ee29153812e8ccb864516fdc296b0cfbe96a3bd8012275440ef7d8cc2d3cc
03_DEP_country_site_robustness_FIXED_PRIMARY_MAP_v2(3).R,scripts/DEP/04_DEP_country_site_robustness.R,KEEP + REFACTOR,c8cdb35a48838b4062379dd25187435805ccd03d7648d22b862cf3c78c1e1ccf
04_DEP_matching_and_biomarker_complete_case_sensitivity_UPDATED(3).R,scripts/DEP/05_DEP_matching_biomarker_sensitivity.R,KEEP + REFACTOR,49c4e7ecd590804e98cc113a25e8fd07773d13894089ad130fe03bb16a6e4316
05_DEP_p_tau217_enrichment_threshold_sweep(4).R,scripts/DEP/06_DEP_ptau217_threshold_sweep.R,KEEP + REFACTOR,16015886e6dd58a7937714cfa83659018bfe5c204d5161f6ce376f9c6a807f68
06_DEP_demographic_balance_country_site_UPDATED(3).R,scripts/DEP/07_DEP_demographic_balance.R,KEEP + REFACTOR,0312452b1662c9de7929e0bfa795d478716c33cd717b161b003a1ab5331a1827
08_DEP_generate_supplementary_tables_CONSOLIDATED_NatureAging_v2(4).R,scripts/DEP/08_DEP_generate_supplementary_tables.R,KEEP + REFACTOR,c002f97536647d3059a2e5b87a2984060a0c241d1b28556d51dccc8a575c0b1c
08_DEP_generate_supplementary_tables_FIXED_PRIMARY_MAP_v2(5).R,archive/DEP_legacy/08_DEP_generate_supplementary_tables_legacy.R,ARCHIVE superseded,07cb8460ccefa2855b08e31109d8b8b09b4504e07c6bd4cd719ce43146c88660
09_DEP_generate_NatureAging_source_data_BEIGE_v3(5).R,scripts/DEP/09_DEP_generate_source_data.R,KEEP + REFACTOR,91da13f7a1c0109ac10e1a6b914c4f05aa2e24dbd4655c0f49f5afce98dbb8ec
10_DEP_generate_complete_supplementary_data_NatureAging_v2(5).R,scripts/DEP/10_DEP_generate_supplementary_data.R,KEEP + REFACTOR,22c61bf226c2f94d4d9b2f7bb3e3c09e69f96d8f75d1e94ccf456ba9676efb1a
11B_DEP_generate_Figure2_ILLUSTRATOR_v29(3).R,scripts/DEP/11_DEP_generate_main_figure2.R,KEEP + REFACTOR,12e7f162f9344f51d8273ea7897606c02f0a8253889f74eaede3df4f14e17876
12_DEP_generate_ExtendedData_Figures_NatureAging_FINAL_v6(3).R,scripts/DEP/12_DEP_generate_extended_data_figures.R,KEEP + REFACTOR,6b20895662697be0d6154889b1244eb5b61bb44a10fd9ad32b09e6369009ff2b
